Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop"
Australia,5919,24,48,3,2547,3324,93,232,2,310700,12184
Austria,12635,338,243,23,4046,8346,243,1403,27,115235,12795
Belgium,22194,1380,2035,403,4157,16002,1260,1915,176,80512,6947
Canada,17840,1173,375,52,3935,13530,426,473,10,346507,9181
Chile,5116,301,43,6,898,4175,337,268,2,57122,2988
Czech Republic,4944,122,88,10,172,4684,86,462,8,91247,8521
Denmark,5071,390,203,16,1491,3377,127,875,35,58419,10086
Estonia,1149,41,21,2,69,1059,12,866,16,23546,17750
Finland,2308,132,34,7,300,1974,81,417,6,34900,6299
France,109069,11059,10328,1417,19337,79404,7131,1671,158,224254,3436
Germany,107458,4083,1983,173,36081,69394,4895,1283,24,918460,10962
Greece,1832,77,81,2,269,1482,90,176,8,28584,2742
Hungary,817,73,47,9,71,699,17,85,5,23746,2458
Iceland,1586,24,6,,559,1021,11,4648,18,28991,84957
Ireland,5709,345,210,36,25,5474,165,1156,43,42484,8604
Israel,9248,344,65,8,770,8413,149,1068,8,117339,13557
Italy,135586,3039,17127,604,24392,94067,3792,2243,283,755445,12495
Japan,3906,,92,,592,3222,79,31,0.7,46172,365
Korea,10331,47,192,6,6694,3445,55,202,4,477304,9310
Latvia,548,6,2,1,16,530,5,291,1,22575,11969
Lithuania,880,37,15,,8,857,11,323,6,27807,10215
Luxembourg,2970,127,44,3,500,2426,35,4745,70,25702,41059
Mexico,2439,296,125,31,633,1681,89,19,1,20475,159
Netherlands,19580,777,2101,234,250,17229,1424,1143,123,86589,5053
New Zealand,1160,54,1,,241,918,14,241,0.2,42826,8881
Norway,5903,38,89,13,32,5782,78,1089,16,113896,21009
Poland,4848,435,129,22,191,4528,50,128,3,92215,2437
Portugal,12442,712,345,34,184,11913,271,1220,34,121256,11892
Slovak Republic,581,47,2,,13,566,3,106,0.4,17639,3231
Slovenia,1059,38,36,6,102,921,30,509,17,29455,14168
Spain,140617,3942,13912,571,43208,83497,7069,3008,298,355000,7593
Sweden,7693,487,591,114,205,6897,640,762,59,54700,5416
Switzerland,22253,596,821,56,8704,12728,391,2571,95,167429,19346
Turkey,34109,3892,725,76,1582,31802,1474,404,9,222868,2643
United Kingdom,55242,3634,6159,786,135,48948,1559,814,91,266694,3929
United States,391474,24470,12552,1681,21488,357434,9169,1183,38,2052886,6202
